,Label,ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,Condition,Participant
8,8,70.41828938024076,852.170731707317,46.09159521831516,32.60698916392856,34.05802729835803,25.574459000276484,25.600188468278354,0.0540872779401506,0.03001095678214419,854.0,47.4432,0.05555409836065574,62.5,814.0,894.0,2.642276422764228,48.983739837398375,694.0,968.0,12.615384615384615,242.1875,0.003012051161999379,0.0017713417484300305,0.0016465069706798092,5.265606879486625e-05,1.075817946703669,0.2732474292730538,0.25399039875686236,-6.40909922252195,18.102066865573278,62.64766175409366,0.2889503990847737,3562.7299410663754,3.460801587979863,4.2587530135506055,867.2445091271707,0.5345528455284553,0.5311203319502075,0.8671875,0.010638297872340425,50.30927835051546,50.30721621053296,50.31058765594856,43.56846473029046,0.43828859687363764,0.5617114031263621,11.984343527950056,13.567217391753625,0.5475323393273921,0.4524676606726077,46.356405567033256,42.140398504998245,0.5391139618073956,0.46088603819260426,33.856615504884644,31.304013911279498,0.9211477949427479,0.8204939596176917,1.0063788418071065,1.3222074305553666,-0.9159572853008697,-1.9159572853008697,-0.11507505930278845,0.0004292851655001856,0.05130674614642134,1.144650083782509,0.6529959562262091,1.2380458462454635,1.1608876855854526,0.5415593727557741,0.3859366062376832,-0.6181602426849976,1.2549841310135832e-05,0.017423575879510444,1.2216543855674686,1.4788177300170362,6.370501603587718,1.0220801458396347,1.3802464611216305,1.305589400670135,2.0864048692488493,1.6925995537372132,1.8178967046918382,3.352135484978875,0.5998028021873881,Normal,11
1,1,74.21615030959816,808.7634854771784,53.083719988343226,33.8158976235982,46.31314579443555,36.698546746885405,36.77516500991228,0.06563565361389098,0.04537611725291097,810.0,47.4432,0.05857185185185185,66.0,764.0,850.0,14.107883817427386,58.50622406639005,668.0,962.0,11.476190476190476,125.0,0.0016904427462520431,0.014803019845872683,0.008007224833693479,0.000483388397218447,1.84870790483905,0.592498195679646,0.32049313692485637,-4.8274110406438675,26.003968557763216,70.54061982028796,0.3686382204184191,5762.736689845566,2.712686706400004,4.4675988862740885,765.4184065908471,0.4605809128630705,0.45493562231759654,0.660377358490566,0.04225352112676056,50.13161743199767,50.15119979072124,50.11106080577504,38.62660944206009,0.3861546648186419,0.613845335181358,16.159249330093704,20.37370526214578,0.6291190914506133,0.37088090854938704,55.95072310198653,42.95923217418154,0.600051626864432,0.39994837313556797,41.18012114204682,33.61981183100242,1.165189007900246,0.6723611673275633,1.2245428675652392,1.4578776775052182,-0.37281792251189216,-1.2871914985433683,-0.15296209644674183,5.231614682357121e-05,0.022660056702015808,0.8029691031862368,0.5189248560202406,0.8542862242157796,0.9972568317561552,-0.05095017185998785,-0.697691605684529,-0.22448687727766303,0.0002478251206906411,0.018827115491301703,0.9988991867032073,1.5006207739083635,6.277281390773069,1.1245144249381693,1.3955385659644164,1.3262002750774673,1.9295031816565629,1.7059994984783087,1.78591728002517,2.888480569777082,0.7551720113414486,Anxious,12
2,2,76.7990994502603,781.2185430463576,40.324664749957535,18.48797925000337,45.62762223470618,31.006665949974906,31.1105382923723,0.0516176492594655,0.03969013053513115,792.0,35.5824,0.044927272727272725,54.0,746.0,812.0,9.271523178807946,45.033112582781456,664.0,884.0,7.947368421052632,164.0625,0.007783594445968808,0.02884744284025112,0.020186811731942953,0.0010824174602117663,1.4290242175590246,0.5756057150322778,0.40279633330182024,-3.9027257723541915,21.998472592900207,52.73571861553695,0.41714559259687484,3644.5781641885524,2.3972445538131084,4.268617378811416,505.6816569700661,0.47019867549668876,0.4620689655172414,0.7014925373134329,0.04878048780487805,49.971957375210316,49.980787297506815,49.96321215309486,38.62068965517241,0.4102016475744044,0.5897983524255956,14.089360067586249,16.89446118678978,0.6493847874759949,0.350615212524005,42.49677012598651,31.226279745691,0.6139333386156884,0.3860666613843116,31.658218034619647,25.10481393625631,1.1222251179020386,0.47071351736707356,1.2804942477375447,1.3575818765855754,0.47791466239413793,-0.5366466084866843,-0.3362323876331006,0.0005633880698595678,0.030049677085125542,1.1690414269913554,1.7049152436234616,2.6143369320022622,1.7618793101905315,4.198097869905524,3.1980978699055242,-1.0,0.006639284653408133,0.45777824276899065,0.7675358337693114,1.2882331479436757,5.690206813091947,1.1389965905276496,1.2052940331365192,1.2985885109370143,1.5671261648109267,1.6860014767285887,1.7559918655328757,2.781756361093429,0.958729104546368,Normal,12
3,3,75.28409964062378,797.1985294117648,38.2424427289062,14.1529531086893,36.45099670859507,38.293486964645034,38.3636057090019,0.04797104023401104,0.048035069749690774,798.0,38.547599999999996,0.04830526315789473,52.0,766.4,832.0,18.75,53.67647058823529,686.0,878.0,10.461538461538462,187.5,0.01533556937117056,0.0303528598022577,0.05581821489943971,0.004244082279536837,0.5437805536587014,0.2870227075425423,0.5278281939495197,-2.885655030972569,27.12716574760219,46.81210745523758,0.5794903759362166,3989.445044127757,1.7256541981122877,4.30788259686771,323.126039010457,0.4632352941176471,0.4586466165413534,0.7131147540983607,0.023255813953488372,49.606686332350044,49.623602850573725,49.59030968035282,37.59398496240601,0.3734347948625035,0.6265652051374966,16.57753946805179,21.473152919315233,0.6888367452575581,0.3111632547424417,38.85226535906703,26.112734074955654,0.6095455801754195,0.39045441982458046,29.868991766932602,23.90576475628469,0.8398598899469089,2.051559101159876,1.023446530488594,1.8051205969961286,-1.8835368578981182,-2.7646714166019186,-0.11898535310749535,0.003674451171332013,0.37568833507072547,0.8019048511061039,0.29391655870020983,0.7096534905903482,0.694556969980523,1.0,0.7127277951386177,-0.5513632871743831,6.403468919934925e-05,0.007546484735877285,1.0307922145524646,1.8038389948826563,6.022945567106572,1.2987063068788753,1.5713357586162675,1.4083922857063462,2.0923616836252483,1.8015308232579177,1.897725432357153,3.782999793886982,0.9514662166176869,Anxious,12
4,4,78.03190604153176,768.912,41.62312012610609,18.48797925000337,45.62762223470618,35.29095653142921,35.431012891737765,0.054132488667241616,0.04589726331677644,772.0,44.477999999999994,0.05761398963730569,56.0,736.0,804.4,16.0,51.2,658.0,854.0,12.5,78.125,0.007783594445968808,0.04152606601430915,0.025422244436253644,0.0014936881388811485,1.6334539666014103,0.606733685020032,0.37144216943095826,-3.672130723009412,25.05350948005576,53.177970421584625,0.4711257176879147,4185.527512387831,2.1225756999799885,4.328720310948612,451.4970711644404,0.48,0.4793388429752066,0.7241379310344828,0.023809523809523808,50.85748078060318,50.822395791864004,50.893185776191274,39.66942148760331,0.4147737574140744,0.5852262425859255,16.1366119090235,19.167638716955718,0.5835304898379924,0.416469510162008,40.622208853323606,34.318110175764154,0.552872732830798,0.4471272671692019,30.907556487253096,27.795063051013457,1.0289061363248444,1.7668489440837796,1.1497074651064012,1.9010573880229473,-1.1982716508981994,-2.1757252102106257,-0.07475146620065616,0.005567607988263459,0.3688030946351324,0.8367735669942435,0.5072514460076026,0.8670843738983021,0.8638329113320158,0.7037711570393836,-0.078496015234098,-0.48271498398516177,0.00010632456357909128,0.016822706494291868,0.7301761697810552,1.5198257537444133,5.846477060676208,1.2446434780058153,1.4334786426228248,1.4787155622976667,2.0342387261697272,1.900333372237976,1.8040345372774347,3.253537870022259,1.0587992112686373,Normal,12
5,5,75.09126225590148,799.1262626262626,43.39345126082724,18.386722783565673,39.12528792473198,35.60600148531356,35.6511062248596,0.05430112022375318,0.04455616483970552,798.0,41.5128,0.05202105263157895,56.0,764.0,836.0,17.17171717171717,53.03030303030303,668.0,928.0,10.421052631578947,210.9375,0.010798225790808882,0.007267187682577514,0.01145806448075882,0.0009238301840871731,0.6342421702008294,0.23868079403223755,0.37632438403876634,-4.469061475436195,25.209138968400158,55.902424836630985,0.45094893543654396,4427.295718875283,2.2175459823005097,4.35310864137964,495.86479038930906,0.49747474747474746,0.4842931937172775,0.7405405405405405,0.046511627906976744,49.89090909090908,49.9097434961727,49.87160569490173,42.14659685863874,0.41302298832212403,0.586977011677876,16.20114679152084,19.31386498634232,0.5372478544746785,0.46275214552532146,40.97490838841945,38.028120978767944,0.5162550445083295,0.48374495549167035,31.156221487848722,30.159271923294753,0.8442696820028317,2.2362497937272723,1.0149194307270486,1.9548493059595358,-2.4033413332359412,-3.388250787422077,-0.07968475710137113,0.0035945281063443964,0.4337733891268446,0.9960770966359056,0.3829368942879485,1.1464807576030833,0.9550123104591091,1.3008073219343554,0.29598074806869534,-1.0,0.0005571196949714916,0.02263424034651063,1.1946979894961753,1.6168636891309498,6.2190753429640795,1.192341498780749,1.1865281366134264,1.2728185748707257,1.9412043933274918,1.7284626587126843,1.895812543210942,3.0639742516790776,0.8716521838464253,Anxious,12
6,6,77.18815966930393,777.3648648648649,42.998486161550694,18.928452494949752,39.652730753279194,33.30394184436553,33.35694954948456,0.055313133002255564,0.04284209815702823,782.0,44.477999999999994,0.0568772378516624,62.0,740.0,816.0,12.837837837837837,50.67567567567568,654.0,866.0,10.962962962962964,156.25,0.008466204254905437,0.045645498090979716,0.019551364014037412,0.0020932951834464844,2.3346451970413593,0.6025302319310644,0.2580821414297284,-3.934710224445615,23.58692522613808,55.82989929053006,0.4224783767456827,4137.024067132509,2.3669850459635837,4.323658157372276,528.5941469533501,0.5405405405405406,0.528169014084507,0.78,0.10112359550561797,49.06005221932114,49.05761270802827,49.06224426927698,41.54929577464789,0.40223716381418084,0.5977628361858189,14.960946894257367,18.23821956938847,0.5918249591300271,0.4081750408699728,42.95003111938024,35.66892879853554,0.5631056911455865,0.43689430885441355,32.160030357017085,28.327593744406023,1.1395473867473493,1.5765727969167143,1.1830889162040894,1.9278337852057064,-1.2292370705763727,-2.2310086501577384,-0.02761783632312681,0.0029860059613456007,0.25531413587055224,0.8674383001538888,0.6539462181041329,0.99029190476175,0.8555121769055323,0.6362411079572832,0.5017097001609971,-0.706102159665301,8.30368880534993e-05,0.02202698812291197,1.079995949870776,1.569298744843756,6.184201120203416,1.1601241404645448,1.484713158793122,1.3905672470897998,2.1788979376327657,1.767905030183887,1.739557517867747,2.9372370223457227,0.7488352732161541,Normal,12
7,7,75.16467737419092,798.5271739130435,51.38933911600969,24.564982623859326,44.76505152504526,40.236337167405516,40.25450630714974,0.064355153831754,0.050388187756008784,802.0,53.373599999999996,0.0665506234413965,70.0,756.0,844.0,21.3768115942029,61.86594202898551,656.0,970.0,14.72,242.1875,0.005389113078395618,0.004456738694804872,0.003105739510102556,0.00019986921060632454,1.4350008042553781,0.3388778529098614,0.23615168152167348,-5.7745034244492235,28.464234383102227,66.80426263715206,0.42608410390974544,5973.83955707954,2.346954488149183,4.48322366428435,627.1462560950433,0.5090579710144928,0.4976700838769805,0.7134831460674157,0.033707865168539325,49.87533935398083,49.87728800563421,49.872907703432624,40.35414725069897,0.40472281146610106,0.595277188533899,18.108365074253168,21.961399893892363,0.5933947458246758,0.40660525417532445,51.460739528010194,42.59814307835355,0.5644047447061232,0.43559525529387694,38.575384628232435,33.88882469947384,0.987235982657931,1.2035370137845725,1.1830912164654581,1.5890044895502173,-1.490859981183469,-2.5010430721990797,-0.16273303734270053,0.0007803353430069965,0.11020359642048375,0.8575156920831233,0.19277910798029319,0.8640295286850055,0.9539052460732699,0.6201364024693445,-0.37656790041855037,-0.03378912097958292,1.0652255131466637e-05,0.002383957019004407,1.47278865721678,1.577341519391985,6.592213293465041,1.1857866057043986,1.4477211248038742,1.3843040806838356,2.0905226736881186,1.7654353977209118,1.821866530112476,3.8703586594433363,0.778283132994696,Anxious,12
